lad11cd,lad11nm,lsoa11,2014_15
E09000001,City of London,E01000001,12
E09000001,City of London,E01000002,11
E09000001,City of London,E01000003,10
E09000001,City of London,E01000005,11
E09000002,Barking and Dagenham,E01000006,33
E09000002,Barking and Dagenham,E01000007,72
E09000002,Barking and Dagenham,E01000008,32
E09000002,Barking and Dagenham,E01000009,40
E09000002,Barking and Dagenham,E01000010,92
E09000002,Barking and Dagenham,E01000011,45
E09000002,Barking and Dagenham,E01000012,52
E09000002,Barking and Dagenham,E01000013,23
E09000002,Barking and Dagenham,E01000014,29
E09000002,Barking and Dagenham,E01000015,48
E09000002,Barking and Dagenham,E01000016,31
E09000002,Barking and Dagenham,E01000017,24
E09000002,Barking and Dagenham,E01000018,26
E09000002,Barking and Dagenham,E01000019,30
E09000002,Barking and Dagenham,E01000020,22
E09000002,Barking and Dagenham,E01000021,24
E09000002,Barking and Dagenham,E01000022,31
E09000002,Barking and Dagenham,E01000023,94
E09000002,Barking and Dagenham,E01000024,24
E09000002,Barking and Dagenham,E01000025,38
E09000002,Barking and Dagenham,E01000027,27
E09000002,Barking and Dagenham,E01000028,32
E09000002,Barking and Dagenham,E01000029,20
E09000002,Barking and Dagenham,E01000030,40
E09000002,Barking and Dagenham,E01000031,28
E09000002,Barking and Dagenham,E01000032,25
E09000002,Barking and Dagenham,E01000033,23
E09000002,Barking and Dagenham,E01000034,21
E09000002,Barking and Dagenham,E01000035,24
E09000002,Barking and Dagenham,E01000036,22
E09000002,Barking and Dagenham,E01000037,11
E09000002,Barking and Dagenham,E01000038,22
E09000002,Barking and Dagenham,E01000039,22
E09000002,Barking and Dagenham,E01000040,38
E09000002,Barking and Dagenham,E01000041,29
E09000002,Barking and Dagenham,E01000042,40
E09000002,Barking and Dagenham,E01000043,19
E09000002,Barking and Dagenham,E01000044,33
E09000002,Barking and Dagenham,E01000045,30
E09000002,Barking and Dagenham,E01000046,38
E09000002,Barking and Dagenham,E01000048,48
E09000002,Barking and Dagenham,E01000049,54
E09000002,Barking and Dagenham,E01000050,24
E09000002,Barking and Dagenham,E01000051,16
E09000002,Barking and Dagenham,E01000052,40
E09000002,Barking and Dagenham,E01000053,40
E09000002,Barking and Dagenham,E01000054,37
E09000002,Barking and Dagenham,E01000055,30
E09000002,Barking and Dagenham,E01000056,23
E09000002,Barking and Dagenham,E01000057,22
E09000002,Barking and Dagenham,E01000058,36
E09000002,Barking and Dagenham,E01000059,19
E09000002,Barking and Dagenham,E01000060,28
E09000002,Barking and Dagenham,E01000061,34
E09000002,Barking and Dagenham,E01000062,24
E09000002,Barking and Dagenham,E01000063,22
E09000002,Barking and Dagenham,E01000064,39
E09000002,Barking and Dagenham,E01000065,29
E09000002,Barking and Dagenham,E01000066,34
E09000002,Barking and Dagenham,E01000067,31
E09000002,Barking and Dagenham,E01000068,29
E09000002,Barking and Dagenham,E01000069,23
E09000002,Barking and Dagenham,E01000070,31
E09000002,Barking and Dagenham,E01000071,38
E09000002,Barking and Dagenham,E01000072,35
